gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	APOE+ FIB	CD40LG+ TC	COL11A1+ FIB	FBN1+ FIB	Inflam. DC	Inflam. FIB	Inflam. TC	LC	NKT	TC	cDC1	cDC2
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	ALDH1A1	0.265	0.016	0.133	0.254	0.0	0.294	0.0	0.0	0.093	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	ALDH1A1	0.265	0.016	0.133	0.254	0.0	0.294	0.0	0.0	0.093	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC03F7FB36A	ALDH1A3	0.003	0.0	0.01	0.12	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0564402E8	ALDH1A3	0.003	0.0	0.01	0.12	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0BD81688E	ALDH1A3	0.003	0.0	0.01	0.12	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC07CAD6A4A	ALDH1A3	0.003	0.0	0.01	0.12	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC09B046394	ALDH1A3	0.003	0.0	0.01	0.12	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0
B2M	P61769	True	B2MG_HUMAN	CD1B_complex	CPI-CS05B3376EE	B2M	0.0	0.0	0.0	0.0	3.277	0.0	0.0	1.731	0.0	0.0	0.237	1.294
CD1B	P29016	True	CD1B_HUMAN	CD1B_complex	CPI-CS05B3376EE	CD1B	0.0	0.0	0.0	0.0	3.277	0.0	0.0	1.731	0.0	0.0	0.237	1.294
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS0D81115C8	DHCR24	0.008	0.007	0.037	0.05	0.0	0.027	0.0	0.0	0.054	0.0	0.0	0.025
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.141	0.047	0.154	0.153	0.0	0.163	0.146	2.388	0.224	0.047	0.165	1.472
ITGB1	P05556	True	ITB1_HUMAN	integrin_aVb1_complex	CPI-CS0D69D106B	ITGB1	0.121	0.016	0.169	0.21	0.0	0.109	0.0	0.277	0.094	0.061	0.826	0.104
ITGAV	P06756	True	ITAV_HUMAN	integrin_aVb1_complex	CPI-CS0D69D106B	ITGAV	0.121	0.016	0.169	0.21	0.0	0.109	0.0	0.277	0.094	0.061	0.826	0.104
ITGAV	P06756	True	ITAV_HUMAN	integrin_aVb3_complex	CPI-CS056DF06D6	ITGAV	0.047	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGAV	P06756	True	ITAV_HUMAN	integrin_aVb3_complex	CPI-CS0A0368BF0	ITGAV	0.047	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGB3	P05106	True	ITB3_HUMAN	integrin_aVb3_complex	CPI-CS056DF06D6	ITGB3	0.047	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ITGB3	P05106	True	ITB3_HUMAN	integrin_aVb3_complex	CPI-CS0A0368BF0	ITGB3	0.047	0.0	0.0	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	LTA4H	0.074	0.017	0.084	0.057	1.037	0.058	0.08	0.284	0.102	0.061	0.237	0.257
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.11
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.032	0.054	0.144	0.021	0.0	0.034	0.057	0.0	0.077	0.044	0.266	0.239
DPEP1	P16444	True	DPEP1_HUMAN	LeukotrieneE4_byDPEP1	CPI-CS0150916A7	DPEP1	0.003	0.0	0.942	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0
PTGIS	Q16647	True	PTGIS_HUMAN	Prostacyclin_byPTGIS	CPI-CS09A35DD21	PTGIS	0.139	0.012	0.045	0.967	0.0	0.203	0.0	0.0	0.044	0.0	0.0	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0D78DAC70	AKR1C3	0.452	0.009	0.068	0.663	0.0	0.2	0.0	0.0	0.135	0.037	0.0	0.103
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.207	0.018	0.119	0.398	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.207	0.018	0.119	0.398	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.207	0.018	0.119	0.398	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS0086A177F	PTGES2	0.053	0.065	0.079	0.072	1.037	0.0	0.221	0.405	0.0	0.017	0.426	0.414
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS0F721837F	PTGES2	0.053	0.065	0.079	0.072	1.037	0.0	0.221	0.405	0.0	0.017	0.426	0.414
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS08E678B9D	PTGES2	0.053	0.065	0.079	0.072	1.037	0.0	0.221	0.405	0.0	0.017	0.426	0.414
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS000F037BD	PTGES3	0.661	0.582	0.664	0.612	1.037	0.744	0.673	0.634	0.321	0.342	0.553	0.829
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS0C9671CB6	PTGES3	0.661	0.582	0.664	0.612	1.037	0.744	0.673	0.634	0.321	0.342	0.553	0.829
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS036B95798	PTGES3	0.661	0.582	0.664	0.612	1.037	0.744	0.673	0.634	0.321	0.342	0.553	0.829
AKR1B1	P15121	True	ALDR_HUMAN	ProstaglandinF2a_byAKR1B1	CPI-CS058DED3AA	AKR1B1	0.239	0.068	0.216	0.264	0.0	0.175	0.12	0.0	0.098	0.112	0.477	0.187
CBR1	P16152	True	CBR1_HUMAN	ProstaglandinF2a_byCBR1	CPI-CS08EDCA6A3	CBR1	0.256	0.16	0.266	0.344	0.0	0.247	0.087	0.0	0.125	0.03	0.0	0.0
HSD17B12	Q53GQ0	True	DHB12_HUMAN	Testosterone_byHSD17B12	CPI-CS0BE6576AD	HSD17B12	0.163	0.155	0.138	0.207	1.037	0.144	0.029	0.543	0.299	0.085	0.485	0.594
CDH1	P12830	False	CADH1_HUMAN		CPI-SC09D882C18	CDH1	0.001	0.0	0.046	0.0	0.0	0.0	0.0	0.184	0.0	0.0	0.0	0.147
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.02	0.033	0.158	0.0	0.0	0.046	0.05	0.0	0.0	0.015	0.619	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	CADM3	0.1	0.012	0.159	0.304	0.0	0.118	0.0	0.0	0.041	0.0	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	CRTAM	0.0	0.036	0.0	0.0	0.0	0.0	0.368	0.0	0.29	0.037	0.0	0.025
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC0E53A238E	COL11A1	0.003	0.0	1.273	0.007	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC0E83A4B71	COL12A1	0.373	0.0	0.796	1.17	0.0	0.457	0.0	0.0	0.111	0.0	0.0	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0FCF853DB	COL13A1	0.0	0.0	0.0	0.005	0.0	0.062	0.0	0.0	0.09	0.0	0.0	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0AB5FBF10	COL14A1	0.237	0.012	0.369	0.865	0.0	0.612	0.0	0.0	0.0	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC027893337	COL15A1	0.388	0.0	0.655	0.035	0.0	0.594	0.0	0.0	0.118	0.035	0.0	0.025
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC06AD39F88	COL16A1	0.285	0.012	0.975	0.456	0.0	0.455	0.074	0.0	0.0	0.0	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0C739EDCE	COL18A1	0.117	0.192	0.117	0.063	0.0	0.828	0.213	0.0	0.147	0.079	0.0	0.025
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC08DBCCFF0	COL1A1	1.251	0.016	3.952	2.774	0.0	2.512	0.0	0.0	0.299	0.0	0.0	0.029
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC09DB9D20A	COL1A2	2.159	0.021	4.057	3.32	0.0	3.01	0.0	0.0	0.084	0.0	0.0	0.0
COL21A1	Q96P44	False	COLA1_HUMAN		CPI-SC065DB6486	COL21A1	0.089	0.0	0.7	0.034	0.0	0.165	0.0	0.0	0.08	0.0	0.527	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC073A7317A	COL24A1	0.031	0.0	0.282	0.016	0.0	0.12	0.0	0.131	0.0	0.0	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC050F64BB5	COL27A1	0.067	0.0	0.193	0.025	0.0	0.219	0.0	0.0	0.095	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC00367777A	COL3A1	1.532	0.021	3.28	2.54	0.0	3.194	0.0	0.0	0.204	0.0	0.0	0.028
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0744E13CB	COL4A1	0.573	0.0	0.592	0.063	0.0	0.597	0.0	0.0	0.118	0.053	0.0	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC03F728659	COL4A2	0.49	0.0	0.27	0.062	0.0	0.367	0.0	0.0	0.028	0.0	0.0	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0886D58EF	COL4A3	0.004	0.0	0.0	0.0	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC04ABF0023	COL4A4	0.017	0.0	0.0	0.013	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0592501EA	COL5A1	0.181	0.0	0.501	0.579	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC037A0554C	COL5A2	0.427	0.0	1.133	0.619	0.0	0.93	0.0	0.0	0.084	0.0	0.0	0.0
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC00EAD4C47	COL5A3	0.12	0.0	0.093	0.05	0.0	0.113	0.0	0.0	0.0	0.015	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0549A759B	COL6A1	1.916	0.033	2.534	2.396	0.0	2.81	0.0	0.0	0.287	0.022	0.0	0.0
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F9FB6DCB	COL6A2	2.497	0.089	2.712	3.1	0.0	3.154	0.0	0.0	0.218	0.039	0.0	0.0
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECDD1074	COL6A3	1.391	0.033	2.025	1.331	0.0	1.778	0.141	0.0	0.257	0.013	0.0	0.0
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC0C6DC4D50	COL6A5	0.002	0.0	0.014	0.015	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC0D3870098	COL6A6	0.033	0.0	0.157	0.185	0.0	0.732	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC0E509A5C6	COL7A1	0.019	0.007	0.313	0.016	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0453131F6	COL8A2	0.033	0.012	0.158	0.133	0.0	0.133	0.0	0.06	0.0	0.0	0.0	0.067
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0270AA5D9	COL9A2	0.001	0.044	0.013	0.0	0.0	0.0	0.162	0.095	0.053	0.014	0.0	0.088
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SC03AF43F8B	SEMA7A	0.0	0.013	0.0	0.0	0.0	0.008	0.21	0.0	0.0	0.0	0.0	0.0
COL11A1	P12107	False	COBA1_HUMAN		CPI-SC06F3DDF90	COL11A1	0.003	0.0	1.273	0.007	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC0A3722F1F	COL12A1	0.373	0.0	0.796	1.17	0.0	0.457	0.0	0.0	0.111	0.0	0.0	0.0
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC093DFA335	COL13A1	0.0	0.0	0.0	0.005	0.0	0.062	0.0	0.0	0.09	0.0	0.0	0.0
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC092A2325E	COL14A1	0.237	0.012	0.369	0.865	0.0	0.612	0.0	0.0	0.0	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0BCE0B954	COL15A1	0.388	0.0	0.655	0.035	0.0	0.594	0.0	0.0	0.118	0.035	0.0	0.025
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC01633DC81	COL16A1	0.285	0.012	0.975	0.456	0.0	0.455	0.074	0.0	0.0	0.0	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0755F1632	COL18A1	0.117	0.192	0.117	0.063	0.0	0.828	0.213	0.0	0.147	0.079	0.0	0.025
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0AD2341AF	COL1A1	1.251	0.016	3.952	2.774	0.0	2.512	0.0	0.0	0.299	0.0	0.0	0.029
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC015ECCD97	COL1A2	2.159	0.021	4.057	3.32	0.0	3.01	0.0	0.0	0.084	0.0	0.0	0.0
COL21A1	Q96P44	False	COLA1_HUMAN		CPI-SC0C1E494D6	COL21A1	0.089	0.0	0.7	0.034	0.0	0.165	0.0	0.0	0.08	0.0	0.527	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC0B09B811A	COL24A1	0.031	0.0	0.282	0.016	0.0	0.12	0.0	0.131	0.0	0.0	0.0	0.0
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0FC6454F5	COL27A1	0.067	0.0	0.193	0.025	0.0	0.219	0.0	0.0	0.095	0.0	0.0	0.0
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0C061DC28	COL3A1	1.532	0.021	3.28	2.54	0.0	3.194	0.0	0.0	0.204	0.0	0.0	0.028
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0C351F7DF	COL4A1	0.573	0.0	0.592	0.063	0.0	0.597	0.0	0.0	0.118	0.053	0.0	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC09AE93F66	COL4A2	0.49	0.0	0.27	0.062	0.0	0.367	0.0	0.0	0.028	0.0	0.0	0.0
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC08F17FB3E	COL4A3	0.004	0.0	0.0	0.0	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0
COL4A4	P53420	False	CO4A4_HUMAN		CPI-SC0FAC9844A	COL4A4	0.017	0.0	0.0	0.013	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC08821B0D2	COL5A1	0.181	0.0	0.501	0.579	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC075489ADB	COL5A2	0.427	0.0	1.133	0.619	0.0	0.93	0.0	0.0	0.084	0.0	0.0	0.0
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0D0BFC9F7	COL5A3	0.12	0.0	0.093	0.05	0.0	0.113	0.0	0.0	0.0	0.015	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0FB1817EE	COL6A1	1.916	0.033	2.534	2.396	0.0	2.81	0.0	0.0	0.287	0.022	0.0	0.0
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0C5B4E222	COL6A2	2.497	0.089	2.712	3.1	0.0	3.154	0.0	0.0	0.218	0.039	0.0	0.0
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC044916391	COL6A3	1.391	0.033	2.025	1.331	0.0	1.778	0.141	0.0	0.257	0.013	0.0	0.0
COL6A5	A8TX70	False	CO6A5_HUMAN		CPI-SC0E453F338	COL6A5	0.002	0.0	0.014	0.015	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0
COL6A6	A6NMZ7	False	CO6A6_HUMAN		CPI-SC0EDDBD0FB	COL6A6	0.033	0.0	0.157	0.185	0.0	0.732	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC037038602	COL7A1	0.019	0.007	0.313	0.016	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0CC30CEC0	COL8A2	0.033	0.012	0.158	0.133	0.0	0.133	0.0	0.06	0.0	0.0	0.0	0.067
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0C155763A	COL9A2	0.001	0.044	0.013	0.0	0.0	0.0	0.162	0.095	0.053	0.014	0.0	0.088
FN1	P02751	False	FINC_HUMAN		CPI-SC0AE4F5BAB	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0C09120F1	ICAM1	0.026	0.01	0.082	0.017	1.536	0.188	0.074	0.561	0.028	0.012	0.237	0.366
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SC071B77A18	JAM3	0.054	0.0	0.11	0.125	0.0	0.119	0.0	0.0	0.0	0.0	0.0	0.0
F10	P00742	False	FA10_HUMAN		CPI-SC02C7E2DB4	F10	0.512	0.0	0.683	1.03	0.0	0.752	0.0	0.0	0.053	0.0	0.0	0.0
C3	P01024	False	CO3_HUMAN		CPI-SC0C93C7670	C3	1.318	0.046	0.0	1.012	0.0	1.587	0.0	0.0	0.0	0.0	0.0	0.0
THY1	P04216	False	THY1_HUMAN		CPI-SC003905460	THY1	0.926	0.016	1.178	0.863	0.0	0.95	0.0	0.0	0.089	0.0	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC08CB03AD8	ICAM1	0.026	0.01	0.082	0.017	1.536	0.188	0.074	0.561	0.028	0.012	0.237	0.366
THY1	P04216	False	THY1_HUMAN		CPI-SC0EFDBED2D	THY1	0.926	0.016	1.178	0.863	0.0	0.95	0.0	0.0	0.089	0.0	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC0F96CE387	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SC0C2126F8E	JAM2	0.048	0.0	0.249	0.019	0.0	0.111	0.0	0.0	0.108	0.0	0.0	0.0
TNC	P24821	False	TENA_HUMAN		CPI-SC00B50273B	TNC	0.001	0.0	0.017	0.012	0.0	0.756	0.0	0.0	0.0	0.012	0.0	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC0B2557C9D	VCAM1	0.161	0.0	0.167	0.03	0.0	0.794	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2A	P14555	False	PA2GA_HUMAN		CPI-SC09A33C92E	PLA2G2A	1.437	0.0	0.013	0.85	0.0	0.366	0.0	0.0	0.153	0.0	0.0	0.0
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SC0E029AB31	PLAUR	0.052	0.082	0.066	0.061	0.0	0.0	0.0	1.339	0.0	0.012	0.477	0.823
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.161	0.0	0.167	0.03	0.0	0.794	0.0	0.0	0.0	0.0	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC06C3BA86F	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G2A	P14555	False	PA2GA_HUMAN		CPI-SC08F3F7DC6	PLA2G2A	1.437	0.0	0.013	0.85	0.0	0.366	0.0	0.0	0.153	0.0	0.0	0.0
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC03A4FA18B	CD40LG	0.0	0.865	0.0	0.003	0.0	0.0	0.621	0.0	0.185	0.758	0.0	0.0
FBN1	P35555	False	FBN1_HUMAN		CPI-SC0ABE9B7D2	FBN1	0.439	0.016	0.515	2.061	0.0	1.135	0.0	0.0	0.089	0.017	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC08F923F07	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC06D7BD0F6	FN1	0.351	0.012	1.272	1.283	0.0	1.019	0.0	0.0	0.0	0.0	0.0	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC07763D025	LAMC1	0.459	0.012	0.262	0.433	0.0	0.623	0.0	0.0	0.071	0.0	0.0	0.0
TNC	P24821	False	TENA_HUMAN		CPI-SC021D4420C	TNC	0.001	0.0	0.017	0.012	0.0	0.756	0.0	0.0	0.0	0.012	0.0	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02EA03F82	THBS1	0.007	0.0	0.307	0.15	0.0	0.062	0.0	0.0	0.049	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SC0F72E9E4E	FGF2	0.058	0.0	0.039	0.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
