id_interaction,id_cp_interaction,source,annotation_strategy,is_ppi,curator,directionality,classification,unique_int,ligand,from,receptor,to
11,CPI-SC0BDD04147,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14993_P05556_P17301,Q14993,COL19A1,P05556_P17301,integrin_a2b1_complex
12,CPI-SC04BCFC59C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02452_P05556_P17301,P02452,COL1A1,P05556_P17301,integrin_a2b1_complex
13,CPI-SC03D0A4AD2,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P08123_P05556_P17301,P08123,COL1A2,P05556_P17301,integrin_a2b1_complex
14,CPI-SC0D5DDAD29,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q9P218_P05556_P17301,Q9P218,COL20A1,P05556_P17301,integrin_a2b1_complex
15,CPI-SC0D10396B4,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q96P44_P05556_P17301,Q96P44,COL21A1,P05556_P17301,integrin_a2b1_complex
16,CPI-SC04D3AE2F6,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q8NFW1_P05556_P17301,Q8NFW1,COL22A1,P05556_P17301,integrin_a2b1_complex
17,CPI-SC088A27EA5,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q17RW2_P05556_P17301,Q17RW2,COL24A1,P05556_P17301,integrin_a2b1_complex
18,CPI-SC0F179D307,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q96A83_P05556_P17301,Q96A83,COL26A1,P05556_P17301,integrin_a2b1_complex
19,CPI-SC044C2FDA4,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q8IZC6_P05556_P17301,Q8IZC6,COL27A1,P05556_P17301,integrin_a2b1_complex
20,CPI-SC04251A46C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q2UY09_P05556_P17301,Q2UY09,COL28A1,P05556_P17301,integrin_a2b1_complex
21,CPI-SC09C62F412,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02458_P05556_P17301,P02458,COL2A1,P05556_P17301,integrin_a2b1_complex
22,CPI-SC06A152CC0,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02461_P05556_P17301,P02461,COL3A1,P05556_P17301,integrin_a2b1_complex
23,CPI-SC03515B178,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02462_P05556_P17301,P02462,COL4A1,P05556_P17301,integrin_a2b1_complex
24,CPI-SC046604E76,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P08572_P05556_P17301,P08572,COL4A2,P05556_P17301,integrin_a2b1_complex
25,CPI-SC0926FDACC,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q01955_P05556_P17301,Q01955,COL4A3,P05556_P17301,integrin_a2b1_complex
26,CPI-SC072376C7B,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P53420_P05556_P17301,P53420,COL4A4,P05556_P17301,integrin_a2b1_complex
27,CPI-SC0C287AFC3,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P29400_P05556_P17301,P29400,COL4A5,P05556_P17301,integrin_a2b1_complex
28,CPI-SC0FDD31EAB,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14031_P05556_P17301,Q14031,COL4A6,P05556_P17301,integrin_a2b1_complex
29,CPI-SC0681DB40E,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P20908_P05556_P17301,P20908,COL5A1,P05556_P17301,integrin_a2b1_complex
30,CPI-SC0345262E7,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P05997_P05556_P17301,P05997,COL5A2,P05556_P17301,integrin_a2b1_complex
31,CPI-SC0D5418330,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P25940_P05556_P17301,P25940,COL5A3,P05556_P17301,integrin_a2b1_complex
32,CPI-SC0CCB0D955,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12109_P05556_P17301,P12109,COL6A1,P05556_P17301,integrin_a2b1_complex
33,CPI-SC01A5C5096,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12110_P05556_P17301,P12110,COL6A2,P05556_P17301,integrin_a2b1_complex
34,CPI-SC084C79E20,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12111_P05556_P17301,P12111,COL6A3,P05556_P17301,integrin_a2b1_complex
35,CPI-SC0A6F94686,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,A8TX70_P05556_P17301,A8TX70,COL6A5,P05556_P17301,integrin_a2b1_complex
36,CPI-SC00D0AFED0,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,A6NMZ7_P05556_P17301,A6NMZ7,COL6A6,P05556_P17301,integrin_a2b1_complex
37,CPI-SC05640277E,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q02388_P05556_P17301,Q02388,COL7A1,P05556_P17301,integrin_a2b1_complex
38,CPI-SC0B3564B15,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P27658_P05556_P17301,P27658,COL8A1,P05556_P17301,integrin_a2b1_complex
39,CPI-SC0F94B7D8F,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P25067_P05556_P17301,P25067,COL8A2,P05556_P17301,integrin_a2b1_complex
40,CPI-SC00065C95C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P20849_P05556_P17301,P20849,COL9A1,P05556_P17301,integrin_a2b1_complex
41,CPI-SC0A916E0E2,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14055_P05556_P17301,Q14055,COL9A2,P05556_P17301,integrin_a2b1_complex
42,CPI-SC0BB68FB34,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14050_P05556_P17301,Q14050,COL9A3,P05556_P17301,integrin_a2b1_complex
43,CPI-SC01D1C56CC,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Fibronectin,P02751_P05556_P17301,P02751,FN1,P05556_P17301,integrin_a2b1_complex
44,CPI-SC0A460766C,uniprot,curated,TRUE,RVentoTormo,Ligand-Receptor,Adhesion by Laminin,P11047_P05556_P17301,P11047,LAMC1,P05556_P17301,integrin_a2b1_complex
45,CPI-SC09D882C18,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Cadherin,P12830_P26010_P38570,P12830,CDH1,P26010_P38570,integrin_aEb7_complex
46,CPI-SS0CC5DCE80,PMC3030123,curated,TRUE,RVentoTormo,Ligand-Receptor,Adhesion by Cadherin,P12830_Q96E93,P12830,CDH1,Q96E93,KLRG1
47,CPI-SS0EE09A201,uniprot,curated,TRUE,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin,P19022_P19022,P19022,CDH2,P19022,CDH2
48,CPI-SS0ADFF0666,Shilts screen - VALIDATED,curated,TRUE,JShilts,Ligand-Receptor,Adhesion by Cadherin,P19022_P06734,P19022,CDH2,P06734,FCER2
49,CPI-SS0DA0F5556,uniprot,curated,TRUE,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin,P22223_P22223,P22223,CDH3,P22223,CDH3
50,CPI-SS00C24ED50,uniprot,curated,TRUE,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin,P33151_P33151,P33151,CDH5,P33151,CDH5
51,CPI-SS0C53F7672,uniprot,curated,TRUE,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin,P55285_P55285,P55285,CDH6,P55285,CDH6
52,CPI-SS0BE3D537D,uniprot,curated,TRUE,LGarciaAlonso,Adhesion-Adhesion,Adhesion by Cadherin,Q9ULB5_Q9ULB5,Q9ULB5,CDH7,Q9ULB5,CDH7
53,CPI-SS0889E281D,PMID:24503895,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q9BY67_Q9BY67,Q9BY67,CADM1,Q9BY67,CADM1
54,CPI-SS09C06644C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q8N126_Q9BY67,Q8N126,CADM3,Q9BY67,CADM1
55,CPI-SS0C9696AAA,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,NA,O95727_Q9BY67,O95727,CRTAM,Q9BY67,CADM1
56,CPI-SS0B990492C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q9BY67_Q9NQS3,Q9BY67,CADM1,Q9NQS3,NECTIN3
57,CPI-SS00550260E,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q8N126_Q9NQS3,Q8N126,CADM3,Q9NQS3,NECTIN3
58,CPI-SS0C5E9FBFB,PMID:12740392,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Nectin,Q9NQS3_Q15223,Q9NQS3,NECTIN3,Q15223,NECTIN1
59,CPI-SS02FBD007E,PMID:19011627;PMID:12740392,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Nectin,Q9NQS3_Q92692,Q9NQS3,NECTIN3,Q92692,NECTIN2
60,CPI-SS02D18D12B,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q8N126_Q8NFZ8,Q8N126,CADM3,Q8NFZ8,CADM4
61,CPI-SS0B3829651,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CADM,Q8N126_Q9H4G0,Q8N126,CADM3,Q9H4G0,EPB41L1
62,CPI-SS055B305F1,PMID:16282604;PMID:16246332,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,Q9NNX6_P13688,Q9NNX6,CD209,P13688,CEACAM1
63,CPI-SS0544D2759,uniprot,curated,TRUE,LGarciaAlonso,Ligand-Receptor,Adhesion by ICAM,P13598_Q9NNX6,P13598,ICAM2,Q9NNX6,CD209
64,CPI-SS0A2949959,PMID:15795245,curated,TRUE,RVentoTormo,Ligand-Receptor,Adhesion by ICAM,P32942_Q9NNX6,P32942,ICAM3,Q9NNX6,CD209
65,CPI-SS0A2D7895C,PMID:21982860,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P13688_P40199,P13688,CEACAM1,P40199,CEACAM6
66,CPI-SS0322747C2,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P06731_P40199,P06731,CEACAM5,P40199,CEACAM6
67,CPI-SS001BF66E8,PMID:11590190,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P40199_P40199,P40199,CEACAM6,P40199,CEACAM6
68,CPI-SS08C411721,PMID:11590190,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P31997_P40199,P31997,CEACAM8,P40199,CEACAM6
69,CPI-SS0CCDBBBC0,PMID:24743304,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P13688_P31997,P13688,CEACAM1,P31997,CEACAM8
70,CPI-SS0BDC04683,PMID:1378450,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P16581_P13688,P16581,SELE,P13688,CEACAM1
71,CPI-SS0B111D2F5,uniprot,curated,TRUE,LGarciaAlonso,Ligand-Receptor,Signaling by Podocalyxin-like protein,Q9NZ53_P16581,Q9NZ53,PODXL2,P16581,SELE
72,CPI-SS085C6A191,PMC4571854,curated,TRUE,RVentoTormo,Ligand-Receptor,Signaling by Selectin,Q14242_P16581,Q14242,SELPLG,P16581,SELE
73,CPI-SS06F83AE58,PMC4571854,curated,TRUE,RVentoTormo,Ligand-Receptor,NA,P16581_P16070,P16581,SELE,P16070,CD44
74,CPI-SS0AC66088D,PMID:24104458,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P15813_P06731,P15813,CD1D,P06731,CEACAM5
75,CPI-SS04B37190C,PMID:24104458,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P01732_P06731,P01732,CD8A,P06731,CEACAM5
76,CPI-SS0B537DD3F,Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by CEAM,P13688_P06731,P13688,CEACAM1,P06731,CEACAM5
77,CPI-SC04FA882F7,uniprot,curated,TRUE,RVentoTormo,Ligand-Receptor,Adhesion by Collagen/Integrin,Q03692_P05556_P56199,Q03692,COL10A1,P05556_P56199,integrin_a1b1_complex
78,CPI-SC0E53A238E,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12107_P05556_P56199,P12107,COL11A1,P05556_P56199,integrin_a1b1_complex
79,CPI-SC071163509,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P13942_P05556_P56199,P13942,COL11A2,P05556_P56199,integrin_a1b1_complex
80,CPI-SC0E83A4B71,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q99715_P05556_P56199,Q99715,COL12A1,P05556_P56199,integrin_a1b1_complex
81,CPI-SC0FCF853DB,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q5TAT6_P05556_P56199,Q5TAT6,COL13A1,P05556_P56199,integrin_a1b1_complex
82,CPI-SC0AB5FBF10,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q05707_P05556_P56199,Q05707,COL14A1,P05556_P56199,integrin_a1b1_complex
83,CPI-SC027893337,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39059_P05556_P56199,P39059,COL15A1,P05556_P56199,integrin_a1b1_complex
84,CPI-SC06AD39F88,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q07092_P05556_P56199,Q07092,COL16A1,P05556_P56199,integrin_a1b1_complex
85,CPI-SC0C841033A,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q9UMD9_P05556_P56199,Q9UMD9,COL17A1,P05556_P56199,integrin_a1b1_complex
86,CPI-SC0C739EDCE,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39060_P05556_P56199,P39060,COL18A1,P05556_P56199,integrin_a1b1_complex
87,CPI-SC079D293A2,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14993_P05556_P56199,Q14993,COL19A1,P05556_P56199,integrin_a1b1_complex
88,CPI-SC08DBCCFF0,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02452_P05556_P56199,P02452,COL1A1,P05556_P56199,integrin_a1b1_complex
89,CPI-SC09DB9D20A,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P08123_P05556_P56199,P08123,COL1A2,P05556_P56199,integrin_a1b1_complex
90,CPI-SC0804EB2C0,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q9P218_P05556_P56199,Q9P218,COL20A1,P05556_P56199,integrin_a1b1_complex
91,CPI-SC065DB6486,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q96P44_P05556_P56199,Q96P44,COL21A1,P05556_P56199,integrin_a1b1_complex
92,CPI-SC0713C9654,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q8NFW1_P05556_P56199,Q8NFW1,COL22A1,P05556_P56199,integrin_a1b1_complex
93,CPI-SC073A7317A,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q17RW2_P05556_P56199,Q17RW2,COL24A1,P05556_P56199,integrin_a1b1_complex
94,CPI-SC01E6BE079,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q96A83_P05556_P56199,Q96A83,COL26A1,P05556_P56199,integrin_a1b1_complex
95,CPI-SC050F64BB5,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q8IZC6_P05556_P56199,Q8IZC6,COL27A1,P05556_P56199,integrin_a1b1_complex
96,CPI-SC01C274A51,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q2UY09_P05556_P56199,Q2UY09,COL28A1,P05556_P56199,integrin_a1b1_complex
97,CPI-SC0EA8ABCFD,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02458_P05556_P56199,P02458,COL2A1,P05556_P56199,integrin_a1b1_complex
98,CPI-SC00367777A,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02461_P05556_P56199,P02461,COL3A1,P05556_P56199,integrin_a1b1_complex
99,CPI-SC0744E13CB,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02462_P05556_P56199,P02462,COL4A1,P05556_P56199,integrin_a1b1_complex
100,CPI-SC03F728659,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P08572_P05556_P56199,P08572,COL4A2,P05556_P56199,integrin_a1b1_complex
101,CPI-SC0886D58EF,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q01955_P05556_P56199,Q01955,COL4A3,P05556_P56199,integrin_a1b1_complex
102,CPI-SC04ABF0023,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P53420_P05556_P56199,P53420,COL4A4,P05556_P56199,integrin_a1b1_complex
103,CPI-SC042B580A3,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P29400_P05556_P56199,P29400,COL4A5,P05556_P56199,integrin_a1b1_complex
104,CPI-SC0C8B6ACF5,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14031_P05556_P56199,Q14031,COL4A6,P05556_P56199,integrin_a1b1_complex
105,CPI-SC0592501EA,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P20908_P05556_P56199,P20908,COL5A1,P05556_P56199,integrin_a1b1_complex
106,CPI-SC037A0554C,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P05997_P05556_P56199,P05997,COL5A2,P05556_P56199,integrin_a1b1_complex
107,CPI-SC00EAD4C47,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P25940_P05556_P56199,P25940,COL5A3,P05556_P56199,integrin_a1b1_complex
108,CPI-SC0549A759B,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12109_P05556_P56199,P12109,COL6A1,P05556_P56199,integrin_a1b1_complex
109,CPI-SC0F9FB6DCB,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12110_P05556_P56199,P12110,COL6A2,P05556_P56199,integrin_a1b1_complex
110,CPI-SC0ECDD1074,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12111_P05556_P56199,P12111,COL6A3,P05556_P56199,integrin_a1b1_complex
111,CPI-SC0C6DC4D50,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,A8TX70_P05556_P56199,A8TX70,COL6A5,P05556_P56199,integrin_a1b1_complex
112,CPI-SC0D3870098,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,A6NMZ7_P05556_P56199,A6NMZ7,COL6A6,P05556_P56199,integrin_a1b1_complex
113,CPI-SC0E509A5C6,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q02388_P05556_P56199,Q02388,COL7A1,P05556_P56199,integrin_a1b1_complex
114,CPI-SC03760D980,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P27658_P05556_P56199,P27658,COL8A1,P05556_P56199,integrin_a1b1_complex
115,CPI-SC0453131F6,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P25067_P05556_P56199,P25067,COL8A2,P05556_P56199,integrin_a1b1_complex
116,CPI-SC070BECDC9,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P20849_P05556_P56199,P20849,COL9A1,P05556_P56199,integrin_a1b1_complex
117,CPI-SC0270AA5D9,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14055_P05556_P56199,Q14055,COL9A2,P05556_P56199,integrin_a1b1_complex
118,CPI-SC0DC74CBE5,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14050_P05556_P56199,Q14050,COL9A3,P05556_P56199,integrin_a1b1_complex
119,CPI-SC03AF43F8B,PMID:22325954,curated,TRUE,RVentoTormo,Ligand-Receptor,Signaling by Semaphorin,O75326_P05556_P56199,O75326,SEMA7A,P05556_P56199,integrin_a1b1_complex
120,CPI-SC0B4F620A6,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q03692_O75578_P05556,Q03692,COL10A1,O75578_P05556,integrin_a10b1_complex
121,CPI-SC0B991F6B1,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12107_O75578_P05556,P12107,COL11A1,O75578_P05556,integrin_a10b1_complex
122,CPI-SC034D4CF73,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P13942_O75578_P05556,P13942,COL11A2,O75578_P05556,integrin_a10b1_complex
123,CPI-SC0EC720659,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q99715_O75578_P05556,Q99715,COL12A1,O75578_P05556,integrin_a10b1_complex
124,CPI-SC0A18569E5,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q5TAT6_O75578_P05556,Q5TAT6,COL13A1,O75578_P05556,integrin_a10b1_complex
125,CPI-SC0B6D93CD4,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q05707_O75578_P05556,Q05707,COL14A1,O75578_P05556,integrin_a10b1_complex
126,CPI-SC01BE5E1F7,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39059_O75578_P05556,P39059,COL15A1,O75578_P05556,integrin_a10b1_complex
127,CPI-SC027EF0F68,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q07092_O75578_P05556,Q07092,COL16A1,O75578_P05556,integrin_a10b1_complex
128,CPI-SC00942962B,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q9UMD9_O75578_P05556,Q9UMD9,COL17A1,O75578_P05556,integrin_a10b1_complex
129,CPI-SC039737584,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39060_O75578_P05556,P39060,COL18A1,O75578_P05556,integrin_a10b1_complex
130,CPI-SC0423059DF,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q14993_O75578_P05556,Q14993,COL19A1,O75578_P05556,integrin_a10b1_complex
131,CPI-SC028882919,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P02452_O75578_P05556,P02452,COL1A1,O75578_P05556,integrin_a10b1_complex
